CODE,Address,City,State,Country,Zip Code
INY3,300 Park Ave,NEW YORK,NY,USA,10022
CSD1,9500 Gilman Drive #0102,La Jolla,CA,USA,92093
CSG1,280 Bridgeport Blvd,Newnan,GA,USA,30263
CTU1,ProLogis Industrial Park in the west park of Chengdu Hi-Tech Zone,Chengdu,Sichuan,China,zip
CTU2,Tianfu New Area,Chengdu,Sichuan,China,zip
CVG1,"1155 Worldwide Blvd., Bldg. F Park W Intl.",Hebron,KY,USA,41048-8640
CVG2,1600 Worldwide Blvd.,Hebron,KY,USA,41048-8640
CVG3,3680 Langley Dr.,Hebron,KY,USA,41048-9135
CVG5,2285 LITTON WAY,HEBRON,KY,USA,41048-8435
CVG7,560 Erlanger Rd,Erlanger,KY,USA,41018-1242
CVG8,"7968 Kentucky Drive, Suites 2-3",Florence,KY,USA,41042
CVG9,2305 LITTON LANE,HEBRON,KY,USA,41048
CWL1,"Ffordd Amazon, Crymlyn Burrows Jersey Marine",Swansea Bay,pr,United Kingdom,SA1 8QX
DAB4,1785 State Hwy 55,Amsterdam,NY,USA,12010-8173
DAB8,100 PRECISION DR,SHIRLEY,NY,USA,11967
DAE1,2595 Brodhead Rd.,Bethlehem,PA,USA,18020
DAE8,53 WEST GERMANTOWN PIKE,EAST NORRITON,PA,USA,19401
DAL2,2601 S AIRFIELD DR,IRVING,TX,USA,75038
DAL3,1301 Chalk Hill Rd,Dallas,TX,USA,75211-0108
DAL6,4601 Gold Spike,Fort Worth,TX,USA,76106
DAL9,1400 SOUTHPORT PKWY,WILMER,TX,USA,75172
DAS8,110 Fordham Rd.,WILMINGTON,MA,USA,1887
DAT2,1700 BELLE MEADE CT,LAWRENCEVILLE,GA,USA,30043
DAT6,7055 CAMPBELLTON RD,ATLANTA,GA,USA,30331
DAU1,2093-2209 Rutland Dr,Austin,TX,USA,78758
DAU5,2956 MAIN ST.,BUDA,TX,USA,78610
DAU7,3150 CHISHOLM TRAIL RD,ROUND ROCK,TX,USA,78681
DAV1,"1 Shields Ave, Room 182",Davis,CA,USA,95616-8662
DAX3,20730 Prairie St,Charsworth,CA,USA,91311-6010
DAX7,9350 RAYO AVE,SOUTH GATE,CA,USA,90280
DAX8,500 W Technology Dr,Palmdale,CA,USA,93551-3748
DAY3,700 Gateway Blvd,Monroe,OH,USA,45050-1848
DB01,201 Beacham Street,Everett (Chelsea),MA,USA,2149
DB02,500 Sprague St.,Dedham,MA,USA,2026
DBA7,16604 INDUSTRIAL LANE,WILLIAMSPORT,MD,USA,21795
DBA8,7021 DORSEY RD,HANOVER,MD,USA,21076
DBC3,800 JOHN QUINCY ADAMDS RD,TAUNTON,MA,USA,2780
DBC6,100 INDUSTRIAL PARK RD,HINGHAM,MA,USA,2043
DBK1,1 BULOVA AVE,WOODSIDE,NY,USA,11377
DBK6,2300 Linden Blvd,Brooklyn,NY,USA,11208-4844
DBL8,"8 OLD SHERMAN TURNPIKE, #24",DANBURY,CT,USA,6810
DBO8,24 ALGER ST,BOSTON,MA,USA,2127
DBO9,30 COMMERCE BLVD,MIDDLEBOROUGH,MA,USA,2346
DBU1,400 RIVERWALK PKWY,TONAWANDA,NY,USA,14150-5815
DBU3,2 WESTBURY AVE,CARLE PLACE,NY,USA,11514
DCA1,1700 SPARROWS POINT BLVD.,SPARROWS POINT,MD,USA,21219
DCA2,5250 Goodman Way,Eastvale,CA,USA,91752-5088
DCA6,6001 BETHLEHEM BLVD,EDGEMERE,MD,USA,21219
DCB2,560 WEST ST,MANSFIELD,MA,USA,2048
DCB8,351 MAPLE ST,BELLINGHAM,MA,USA,2019
DCH1,2801 S. Western Ave.,Chicago,IL,USA,60608
DCH2,8220 Austin Ave.,Morton Grove,IL,USA,60053
DCH3,4500 Western Ave.,Lisle,IL,USA,60532
FTW1,33333 LYNDON B JOHNSON FREEWAY,DALLAS,TX,USA,75241-7203
FTW2,2701 W Bethel Rd,DFW Airport,TX,USA,75261
FTW3,15201 Herritage Pkwy,Fort Worth,TX,USA,76177-2517
FTW4,4601 Gold Spike Drive,Fort Worth,TX,USA,76106
FTW5,1475 AKRON WAY,FORNEY,TX,USA,75126-3566
FTW6,2601 W. BETHEL RD.,DFW AIRPORT,TX,USA,75261-4015
FTW7,944 W. SANDY LAKE RD.,COPPELL,TX,USA,75019
FTW8,3351 BALMORHEA DR.,DALLAS,TX,USA,75134-7304
FTW9,944 West Sandy Lake Road,COPPELL,TX,USA,75019-3989
FWA4,9800 SMITH RD,FORT WAYNE,IN,USA,46818
GAT1,86 5th St NW,Atlanta,GA,USA,30308
GDL1,123 Unknown,Guadaljara,MX,Mexico,0
GEG1,10010 W. GEIGER BLVD.,SPOKANE,WA,USA,99224
GEG2,18007 E Garland Ave,Spokane Valley,WA,USA,99216
GEU1,10205 W ROOSEVELT ST,AVONDALE,AZ,USA,85323
GLA1,"2 Cloch Road, Faulds Park",Gourock,Inverclyde,United Kingdom,PA19 1BQ
GRR1,6853 PATTERSON AVE SE #7161,CALEDONIA,MI,USA,49316
GRU1,"Estrada dos Alpes, 900, Bairro dos Altos",Barueri,Sao Paulo,Brazil,6423
GRU5,st,Cajamar,SP,Brazil,7776415
GS01,1656 OLD GREENSBORO RD,KERNERSVILLE,NC,USA,27284
GSO1,1656 Old Greensboro Rd.,Kernersville,NC,USA,27284
GSP1,402 JOHN DODD RD,SPARTANBURG,SC,USA,29303-6312
GYR1,580 S 143rd Ave,Goodyear,AZ,USA,85338
GYR2,17341 W MINNEZONA AVE,GOODYEAR,AZ,USA,85395
GYR3,8181 W ROOSEVELT ST,PHOENIX,AZ,USA,85043
GYR4,10205 W Roosevelt St,Avondale,AZ,USA,85323
HAM1,"Winsen, Lower Saxony",Winsen,Lower Saxony,Germany,zip
HAT9,2201 Thornton Road,Lithia Springs,GA,USA,30122
HBA3,817 N. POINT RD,BALTIMORE,MD,USA,21237
HCA3,3334 N San Fernando Rd Bldg E,Los Angeles,CA,USA,90065-1417
HCA4,1555 N CHRISMAN RD,TRACY,CA,USA,95304
HCA6,2727 Kurtz St,San Diego,CA,USA,92110
HCA7,10681 Production Ave,Fontana,CA,USA,92337
HCA8,1350 N. MacArthur Drive,Tracy,CA,USA,95304
HCA9,455 VALLEY DR,BRISBANE,CA,USA,94005-1209
HCL9,12220 Carolina Logistics Drive,PINEVILLE,NC,USA,28134
HCM9,3538 TRADEPORT CT,LOCKBOURNE,OH,USA,43137
HDA1,306 AIRLINE DR #300,COPPELL,TX,USA,75019
HDA9,2701 W. Bethel Rd.,COPPELL,TX,USA,75019
HDS9,200 SE 37TH ST,GRIMES,IA,USA,50111
HDT9,12795 Premier Ctr. Ct,PLYMOUTH,MN,USA,48170
HEA1,9 Livingstone St,DORCHESTER CENTER,MA,USA,2124
HEA2,311Ella St,PITTSBURGH,PA,USA,15224
HEW9,343 HALF ACRE RD,CRANBURY,NJ,USA,8512
HFD5,1339 Tolland Turnpike,Manchester,CT,USA,06042-8928
HGA3,"2160 Breckenridge Blvd, Site 10",Lawrenceville,GA,USA,30043
HGA6,97 PEACHTREE ST SW,ATLANTA,GA,USA,30303
HGR2,1115 WESEL BLVD,HAGERSTOWN,MD,USA,21740
HHO9,16625 TOMBALL PKWY STE A,HOUSTON,TX,USA,77064
HIL1,1111 Cherry Street,Chicago,IL,USA,60642
MAB9,13752 Jamboree Rd,Irvine,CA,USA,92602
MAC1,"3116 S. Rt. 59, suite #104",Naperville,IL,USA,60564
MAC2,1100 S Harbor Blvd,Fullerton,CA,USA,92832
MAC4,1610 W Imperial Hwy,La Habra,CA,USA,90631
MAC7,16 E Golf Rd,Schaumburg,CA,USA,91367
MAC9,6235 E Spring St,Long Beach,CA,USA,90808
MAD4,"Avenida de la Astronomia 24, Madrid Puerta de San Fernando",San Fernando de Henares,Madrid,Spain,28830
MAE1,399 Fairview Ave North,Seattle,WA,USA,98109
MAE3,6939 Dempster St,Morton Grove,IL,USA,60053
MAE4,4101 W 95th St,Oak Lawn,IL,USA,60453
MAE6,15225 Whittier Blvd,Whittier,CA,USA,90603
MAF1,5463 Wisconsin Ave,Chevy Chase Village,MD,USA,20815
MAF4,140 Promenade Way,Westlake Village,CA,USA,91362
MAF6,1837 Street Rd,Bensalem,PA,USA,19020
MAF7,389 Easton Road,Warrington,PA,USA,18976
MAF9,11340 South Street,Cerritos,CA,USA,90701
MAG,3404 W Army Trail Rd,Bloomingdale,IL,USA,60188
MAG1,6855 S La Cienega Blvd,Los Angeles,CA,USA,90045
MAG3,404 W Army Trail Rd,Bloomingdale,IL,USA,60188
MAG4,30 W 63rd St,Westmont,IL,USA,60559
MAG6,7005 Manchester Blvd,Franconia,VA,USA,22310
MAH8,40481 Murrieta Hot Springs Rd,Murrieta,WA,USA,92563
MAJ2,7201 W 24th St,Riverside,IL,USA,60546
MAJ5,1351 E Ogden Ave,Naperville,IL,USA,60563
MAK3,3620 Long Beach Rd,Oceanside,NY,USA,11572
MAM7,742 Los Angeles Ave,Moorpark,CA,USA,93021
MAN1,"Wythenshawe's Airport City, Manchester Airport City",Manchester,pr,United Kingdom,zip
Mar1,"4200 Guilford Dr, Suite B1",College Park,MD,USA,20740
MAS1,"220 Campus Center, 1 Campus Center Way",Amherst,MA,USA,1003
MC05,305 Deen Still Road,Davenport,FL,USA,33897
MCE1,Fulkert Rd,Turlock,CA,USA,95380
MCI1,16851 W 113th St,Lenexa,KS,USA,66219
MCI2,14500 Botts Rd,Kansas City,MO,USA,64147
MCI5,16851 W 113th St,Lenexa,KS,USA,66219
MCI7,27200 W. 157th St.,New Century,KS,USA,66031-1114
MCIX,113th Street and Renner Boulevard,Lenexa,KS,USA,66219
MCO1,12340 Boggy Creek Rd,Orlando,FL,USA,32824-6902
MCO2,2600 N Normandy Blvd,Deltona,FL,USA,32725
MCO3,8825 Boggy Creek Rd,Orlando,FL,USA,32824
MCO4,2314 Waverly Barn Rd Ste 150,Davenport,FL,USA,33897-8601
MCO5,305 Deen Still Rd,Davenport,FL,USA,33897-9409
MCO6,7469 Kingspointe Parkway,Orlando,FL,USA,32819
MCO9,2841 Access Rd NW,Davenport,FL,USA,33897
MDT1,2 Ames Dr,Carlisle,PA,USA,17015
MDT2,600 Principio Pkwy W,North East,MD,USA,21901
MDT3,460 Research Drive,Pittison,PA,USA,18640-6152
MDT5,200 Goodman Dr,Lewisberry,PA,USA,17339
MDW1,Greater Chicago Area,Joliet,IL,USA,60433
MDW2,401 E Laraway Road,Joliet,IL,USA,60433-9642
MDW4,201 Emerald Drive,Joilet,IL,USA,60433-3281
MDW5,16824 Enterprise Blvd,Crest Hill,IL,USA,60435
ULA1,635 8th St,SAN FERNANDO,CA,USA,91340
ULA2,4278 N. Harbor Blvd.,FULLERTON,CA,USA,92835
ULA6,5119 District Blvd,LOS ANGELES,CA,USA,90058
UMA3,30 Northampton Street,Boston,MA,USA,2118
UMA4,201 Beacham St,Chelsea,MA,USA,2150
UMD1,5501 Holabird Ave,Baltimore,MD,USA,21224
UMI2,999 Chicago Road,Troy,MI,USA,48083
UMN1,763 Kasota Ave,Minneapolis,MN,USA,55414-2842
UMN2,6105 Trenton Ln N,MINNEAPOLIS,MN,USA,55442
UNC1,st,Charlotte,NC,USA,28201
UNC2,3200 Bush Street,Raleigh,NC,USA,27609
UNC3,4525 Statesville Ave,CHARLOTTE,NC,USA,28269
UNJ1,940 Monroe Street,Hoboken,NJ,USA,7030
UNV1,3650 East Post Road. Suite E,Las Vegas,NV,USA,89120
UNV2,1945 E RUSSELL RD SUITES 201-204,Las Vegas,NV,USA,89119
UNV3,2951 N Marion Dr Suite 101-103,Las Vegas,NV,USA,89115
UNY1,850 3rd Ave.,Brooklyn,NY,USA,11232
UNY2,1080 Leggett Ave,BRONX,NY,USA,10474
UNY3,57-00 49th Place,MASPETH,NY,USA,11378
UNY4,80 Grumman Rd W,BETHPAGE,NY,USA,11714
UNY5,55 Bay St Brooklyn,BROOKLYN,NY,USA,11231
UOH1,Winton Hills,Cincinnati,OH,USA,45232
UOH2,3563 Interchange Rd,Columbus,OH,USA,43204
UOH4,4401 Equity Dr,COLUMBUS,OH,USA,43228
UOH5,492 Central Dr,VIRGINIA BEACH,VA,USA,23454
UOR1,2250 Northwest 22nd Avenue,Portland,OR,USA,97210
UOR2,5015 NW FRONT AVE,PORTLAND,OR,USA,97210-1105
UPA1,4101 Sansom St,Philadelphia,PA,USA,19104
USC1,3640 Ramos Dr,WEST SACRAMENTO,CA,USA,95691-6401
USC2,2400 McClellan Park Dr,SACRAMENTO,CA,USA,95838
USD1,9269 Lightwave Ave,SAN DIEGO,CA,USA,92123
USF1,750 Laurelwood Road,SANTA CLARA,CA,USA,95054
USF2,1700 Fairway Dr,SAN LEANDRO,CA,USA,94577
USF3,1911 Lundy Ave,SAN JOSE,CA,USA,95131
USF4,455 Valley Drive,BRISBANE,CA,USA,94005
UTN1,410 Harding Industrial Dr.,Nashville,TN,USA,37211
UTX1,st,Irving,TX,USA,75014
UTX2,st,Austin,TX,USA,73301
UTX3,4221 Way Out West Drive,Houston,TX,USA,77092-1455
UTX4,PO Box 80387,Seattle,WA,USA,98108
UTX5,4848 Perrin Creek #680,San Antonio,TX,USA,78217
UTX7,4601 Gold Spike Drive,Fort Worth,TX,USA,76106
UTX8,"2800 S Texas Avenue, Suite 401",Bryan,TX,USA,77802
UTX9,4616 W Howard Lane,AUSTIN,TX,USA,78728
UVA1,5617 Industrial Dr. Suite A,Springfield,VA,USA,22151
UVA2,st,Chesapeake,VA,USA,zip
UVA3,2034 Dabney Road,Richmond,VA,USA,23230
UVA4,4100 Tomlynn St,RICHMOND,VA,USA,23230
UVA5,492 Central Dr,VIRGINIA BEACH,VA,USA,23454
UWA1,11710 118th Ave NE Building B,Kirkland,WA,USA,98034
UWA2,13537 Aurora Ave. N.,North Seattle,WA,USA,98133
DEV3,6050 E MARGINAL WAY S,SEATTLE,WA,USA,98108
DEV4,6050 E MARGINAL WAY S,SEATTLE,WA,USA,98108
DEW1,2 Empire Boulevard,Moonachie,NJ,USA,7074
DEW5,10 PRINCESS RD,LAWRENCE TOWNSHIP,NJ,USA,8648
DFA5,"400 LITTLEFIELD AVE., #438",SOUTH SAN FRANCISCO,CA,USA,94080
DFL3,2121 NW 67TH PL,GAINESVILLE,FL,USA,32653
DFL4,4401 SEABOARD RD,ORLANDO,FL,USA,32808
DFL7,8100 FL-33,LAKELAND,FL,USA,33809
DFM3,770 COMMERCE DR,VENICE,FL,USA,34292
DFO1,22801 8th St E,Sonoma,CA,USA,95476
DFO2,4000 WILBUR AVE,OAKLEY,CA,USA,94561
DFO3,400 LONGFELLOW COURT,LIVERMORE,CA,USA,94550
DFS8,2995 Atlas Rd.,Richmond,CA,USA,94806
DFW1,2700 Regent Blvd,DFW Airport,TX,USA,75261
DFW6,940 W Bethel Rd,Coppell,TX,USA,75019-4424
DFW7,700 WESTPORT PARKWAY,Fort Worth,TX,USA,76177-4513
DFW8,2700 Regent Blvd,Irving,TX,USA,75063
DFW9,2700 Regent Blvd,Irving,TX,USA,75063
DGE4,1500 CROSSGATE RD,PORT WENTWORTH,GA,USA,31407
DGE9,5000 LANIER ISLANDS PARKWAY,BUFORD,GA,USA,30518
DGR3,33600 Mound Rd,Sterling Heights,MI,USA,48310-6526
DGR6,3951 Trade Dr SE 1st Floor,Grand Rapids,MI,USA,49508-2499
DHO4,5615 WEST FUQUA ST,HOUSTON,TX,USA,77085
DHO7,28420 W Ten Blvd.,Katy,TX,USA,77494
DHP1,2 Eastman Way,Hemel Hempstead,Hertfordshire,United Kingdom,HP2 7DU
DHX1,3031 S. SAM HOUSTON PARKWAY E,HOUSTON,TX,USA,77032
DHX3,12900 W AIRPORT BLVD,SUGAR LAND,TX,USA,77478
DHX5,1102 STATE HWY 161,Grand Prairie,TX,USA,75051
DIA3,1301 E Gateway Dr.,GRIMES,IA,USA,50111
DIA4,2500 HEINZ RD,IOWA,IA,USA,52240
DIL3,3507 W 51ST ST,CHICAGO,IL,USA,60632
DIL5,808 DISCOVERY DRIVE,WEST CHICAGO,IL,USA,60185
DIN4,1621 Collins Rd,Greenwood,IN,USA,46143-2114
DIN6,8610 AVIONICS DR,FORT WAYNE,IN,USA,46809
DJA1,11084 Cabot Commerce Circle,Jacksonville,FL,USA,32226
DJE1,8 B Court South,Edison,NJ,USA,8817
DJE2,1250 FOREST PKWY,PAULSBORO,NJ,USA,8066
DJE3,2320 Center Square Rd,Logan Township,NJ,USA,08085-1796
DJE6,79 THOMAS MCGOVERN DR,JERSEY CITY,NJ,USA,7305
DJR6,5 Logistics Dr,Kearny,NJ,USA,00732-6537
DJX2,4645 Blanding Blvd,Jacksonville,FL,USA,32210-7324
DJX3,250 BUSCH DR,JACKSONVILLE,FL,USA,32218
DJZ1,125 North St,Teterboro,NJ,USA,07608-1201
DJZ2,610 WASHINGTON AVE,CARLSTADT,NJ,USA,7072
DJZ3,377 ROOSEVELT AVE,CARTERET,NJ,USA,7008
DJZ4,50 CENTRAL AVE,KEARNY,NJ,USA,7032
DJZ5,429 DELANCY ST,NEWARK,NJ,USA,7105
DJZ8,1 Paddock St,Avenel,NJ,USA,07001-1856
DKY4,3191 RIVER RD,CINCINNATI,OH,USA,45204
DLA1,900 W Florence Ave.,Inglewood,CA,USA,90301
DCH9,"7557 S 78TH AVE., #7575",BRIDGEVIEW,IL,USA,60455
DCL4,24800 MILES RD,BEDFORD,OH,USA,44146
DCL5,2040 S. REYNOLDS RD,TOLEDO,OH,USA,43614
DCM3,43500 VICTORY PARKWAY,SOLON,OH,USA,44139
DCM5,8591 Mink St SW,Etna,OH,USA,43062-8870
DCM6,1280 London Groveport Rd,Lockbourne,OH,USA,43137
DCR1,"Units 2 - 4, Access 23, Purley Way, 4-8 Queensway",Croydon,South London,United Kingdom,CRO 4BD
DCX1,7227 CENTRAL AVE,RIVERSIDE,CA,USA,92504
DCX2,25725 JERONIMO RD.,MISSION VIEJO,CA,USA,92691
DCX5,970 McLaughlin Ave,San Jose,CA,USA,95122-2611
DCX7,950 FRANCISCO ST,TORRANCE,CA,USA,90502
DCX8,1256 N Magnolia Ave.,Anaheim,CA,USA,92801
DCY9,48 Boston Post Rd,Orange,CT,USA,6477
DDA2,3838 W MILLER RD,GARLAND,TX,USA,75041
DDA3,4601 GOLD SPIKE DR.,FORT WORTH,TX,USA,76106
DDA8,8901 FORNEY RD,DALLAS,TX,USA,75227
DDA9,3700 San Jacinto Dr,Ft Worth,TX,USA,76126
DDC1,12401 North Stemmons Fwy.,Farmers Branch,TX,USA,75234
DDC2,861 E Gude Drive,Rockville,MD,USA,20850
DDC9,5533 WELLINGTON RD,GAINESVILLE,VA,USA,20155
DDF1,1303 RIDGEVIEW DR,LEWISVILLE,TX,USA,75057
DDO6,2751 Skypark Dr,Torrance,CA,USA,90505-5351
DDP2,2400 S. WECCACOE AVE,PHILADELPHIA,PA,USA,19148
DDP5,6300 BRISTOL PIKE,LEVITTOWN,PA,USA,19057
DDP7,3750 State Rd,Bensalem,PA,USA,19020-5903
DDT3,28415 AUTOMATION BLVD.,WIXOM,MI,USA,48393
DDT4,7009 W. Mountain Hope Hwy,Lansing,MI,USA,48917
DDT6,1200 FEATHERSTONE RD,PONTIAC,MI,USA,48342
DDV2,900 E 128th Ave,Thornton,CO,USA,80241
DDV5,2889 HIMALAYA RD,AURORA,CO,USA,80011
DDX,4949 Amon Carter Blvd.,Fort Worth,TX,USA,76155
DDX2,1398 INDUSTRIAL BLVD,MCKINNEY,TX,USA,75069
DDX6,16399 GATEWAY PATH,FRISCO,TX,USA,75078
DDX7,1101 S. GATEWAY BLVD,FORNEY,TX,USA,75126
DEDC,2020 Joe B Jackson Parkway,Murfreesboro,TN,USA,37127
DEL2,"Delhi, India",Delhi,pr,India,l6000
DEL3,"Tauru, Haryana",Tauru,Haryana,India,zip
DEN1,189 W 144th Ave,Thornton,CO,USA,80023
DEN2,22205 E. 19TH AVE.,AURORA,CO,USA,80019-3710
DEN3,14601 GRANT ST.,THORNTON,CO,USA,80023-6622
DEN4,4222 INTEGRATION LOOP,COLORADO SPRINGS,CO,USA,80916
DEN5,19799 E 36TH AVE.,AURORA,CO,USA,80011-8189
DEN6,480 E. 55TH ST.,DENVER,CO,USA,80216
DEN7,22300 E 26TH AVE,AURORA,CO,USA,80019
DEN8,20500 E Colfax Ave,Aurora,CO,USA,80018
DET1,39000 AMRHEIN RD.,LIVONIA,MI,USA,48150-1043
DET2,50500 Mound Rd,Shelby Township,MI,USA,48317-1318
DET3,1200 Featherstone Rd,Pontiac,MI,USA,48342
DET7,33700 Prescott Street,ROMULUS,MI,USA,48174
DEV1,2121 7th Ave,SEATTLE,WA,USA,98121-5114
DEV2,125 SW HOPKINS AVE,CORVALLIS,OR,USA,97333
VUVC,"2500 Export Dr, Door 1",Louisville,KY,USA,40219
VUWA,13243 Nutro Way,Victorville,CA,USA,92395
VUWB,6373 Brackbill Blvd,Mechanicsburg,PA,USA,17050-2876
VUWC,4700 E Nestle Purina Ave,Flagstaff,CA,USA,86004
VUWE,736 Garner Rd,Modesto,CA,USA,95357
VUWH,5725 Jurupa St,Ontario,CA,USA,91761
VUWI,4015 Lakeview Corporate Drive,EDWARDSVILLE,IL,USA,62025
VUWR,2301 W. Bernardino Ave.,REDLANDS,CA,USA,92374
WR01,"12804 ul. Logistyczna, 55-040 Bielany Wroclawskie",Wroclaw,pr,Poland,zip
WR02,1076000,Wroclaw,pr,Poland,zip
WRO1,1083000 Near Nowa Wie? junction linking motorways A4 and A8,Bielany Wroclawskie,Suburb,Poland,zip
WRO2,1076000,Wroclaw,pr,Poland,zip
WUH1,300000,Wuhan,Hubei,China,zip
XBC1,15750 Mountain Avenue,Chino,CA,USA,91708
XBRA,"Avenida Doutor Antonio Joao Abadalla, 260, Bairro Cristais Jordanesia",Cajamar,SP,Brazil,7776700
XBRZ,Estrada dos Alpes 970,Barueri,Sao Paulo,Brazil,6423080
XBSP,15750 Mountain Ave,CHINO,CA,USA,91708
XBW1,5300 Nottingham Rd.,NOTTINGHAM,MD,USA,21236
XCAB,1882 118 Avenue NE,Calgary,AB,Canada,T3K 0R1
XCAC,9501 Highway 50,Woodbridge,ON,Canada,L4H 2B9
XEW1,6855 SHANNON PKWY,UNION CITY,GA,USA,30291-2091
XEW2,6855 SHANNON PKWY,UNION CITY,GA,USA,30291
XFI1,6351 Cameron Boulevard,Gilroy,CA,USA,95020
XIX1,18 APPLEGATE DR,ROBBINSVILLE,NJ,USA,8691
XIX2,2020 E Central Ave,San Bernardino,CA,USA,92408-0123
XIX3,1400 SOUTHPORT PKWY BLDG 7,WILMER,TX,USA,75172-1265
XIX4,5155 Citation Drive,MEMPHIS,TN,USA,38118-7830
XIX5,11211 Burlington Road,KENOSHA,WI,USA,53144-7449
XIX6,10681 Production Ave,Fontana,CA,USA,92337-8006
XIX7,555 E ORANGE SHOW RD,SAN BERNARDINO,CA,USA,92408-2453
XIX8,235 HOG MOUNTAIN RD,JEFFERSON,GA,USA,30549
XIY1,625800,Xi'ian,Shaanxi,China,zip
XLA2,6725 Kimball Ave,Chino,CA,USA,91708
XLAA,"5691 E Philadelphia, Suite 100",Ontario,CA,USA,91761
XLAB,1701 Normantown Rd,Romeoville,IL,USA,60446
XLAE,5330 Crosswind Dr,Columbus,OH,USA,43228
XLAF,1600 Roe St,Dallas,TX,USA,75215
XLAG,2115 S Sinclair Ave,Stockton,CA,USA,95215
XLAH,580 Raco Pkwy,Pendergrass,GA,USA,30567
XLAI,7650 S 228th St,Kent,WA,USA,98032
XLAJ,3440 Meyers Rd,Memphis,TN,USA,38108
XLAK,"18875 E BROMLEY LN, SUITE A",BRIGHTON,CO,USA,80601
XLBA,1123 4th ST SW,Conover,NC,USA,28613
XLX1,1115 WESEL BLVD,HAGERSTOWN,MD,USA,21740
XLX2,3565 N AIRPORT WAY,MANTECAA,CA,USA,95336
XLX3,4375 N Perris Blvd,PERRISA,CA,USA,92571
XLX4,4701 Commerce Rd.,RICHMOND,VA,USA,23234
XMN1,170000,Xiamen,Fujian,China,zip
XMN2,170000,Xiamen,Fujian,China,zip
XSF1,2250 Promontory Pkwy,TRACY,CA,USA,95377
XSP1,1115 Vaughn Parkway,Portland,TN,USA,37148
MQJ5,1800 SMITH RD,PLAINFIELD,IN,USA,46168
MQJ9,120 JIM BLACK RD,FRANKLIN,IN,USA,46131
